,pdb,beta,nsus,run,auc_,auc_01_,execution_time,count_seq_scpe,count_seq_cluster,seq_lenght,execution_time_optimization_total,contacts_count,spearman_zmip_evol_nat,par_positions_count,auc_nat,auc_nat_01,auc,auc_01,analysis,auc_di,auc01_di,auc_frob,auc01_frob,auc_di_,auc01_di_,auc_frob_,auc01_frob_
15,2TRX,0.1,5.0,10000,0.576981069421,0.531194077981,407.758337021,104731.0,27583.0,108.0,23759.0582356,,,,,,,,okey_complete2,,,,,0.837086005069,0.684202012433,0.796732376472,0.614875018525
16,2TRX,0.1,5.0,20000,0.603352063603,0.554109183014,1157.16602206,209531.0,55178.0,108.0,23759.0582357,,,,,,,,okey_complete2,,,,,0.868741852447,0.729191072906,0.824044627082,0.64933617651
17,2TRX,0.1,7.0,1000,0.601581298836,0.520104638478,47.492069006,10521.0,2759.0,108.0,23759.0582358,,,,,,,,okey_complete2,,,,,0.631757753823,0.529622341365,0.630763835123,0.537404390069
18,2TRX,0.1,7.0,5000,0.620036527818,0.521728147465,171.153401136,52591.0,13834.0,108.0,23759.0582359,,,,,,,,okey_complete2,,,,,0.799842508222,0.637834799851,0.770167880942,0.603519262903
19,2TRX,0.1,7.0,10000,0.590741791144,0.534636541706,385.372084141,104891.0,27581.0,108.0,23759.058236,,,,,,,,okey_complete2,,,,,0.828545715628,0.688602276637,0.780324115432,0.62759431165
20,2TRX,0.1,7.0,20000,0.583173267773,0.558830456969,1125.85551405,209491.0,55198.0,108.0,23759.0582361,,,,,,,,okey_complete2,,,,,0.856794976145,0.720329839651,0.811306321508,0.657037836378
21,2TRX,0.1,10.0,1000,0.588586700469,0.52075319946,49.1168439388,10441.0,2738.0,108.0,23759.0582362,,,,,,,,okey_complete2,,,,,0.587435067728,0.532999512766,0.623832873431,0.556030562114
22,2TRX,0.1,10.0,5000,0.606209223316,0.523205158929,180.7260921,52551.0,13849.0,108.0,23759.0582363,,,,,,,,okey_complete2,,,,,0.779862227781,0.626318993122,0.753801308902,0.594839209867
23,2TRX,0.1,10.0,10000,0.597353713844,0.541021587562,435.232222795,104751.0,27510.0,108.0,23759.0582364,,,,,,,,okey_complete2,,,,,0.837923755451,0.672789199807,0.791165902368,0.626950158464
24,2TRX,0.1,10.0,20000,0.614253097153,0.55620023229,1232.82884192,209681.0,55281.0,108.0,23759.0582365,,,,,,,,okey_complete2,,,,,0.850652796803,0.695853790094,0.816176655483,0.65750696401
25,2TRX,0.1,15.0,1000,0.634135220351,0.537924458604,50.267261982,10581.0,2785.0,108.0,23759.0582366,,,,,,,,okey_complete2,,,,,0.615267438244,0.529251275947,0.617431295866,0.551272413755
26,2TRX,0.1,15.0,5000,0.602521043108,0.529852010806,185.012421131,52461.0,13765.0,108.0,23759.0582367,,,,,,,,okey_complete2,,,,,0.778582441652,0.616433744989,0.748481660149,0.598478256956
27,2TRX,0.1,15.0,10000,0.59584675173,0.540620679646,448.867980957,105001.0,27680.0,108.0,23759.0582368,,,,,,,,okey_complete2,,,,,0.843281122824,0.702771249321,0.793313878467,0.645801017618
28,2TRX,0.1,15.0,20000,0.600835403159,0.545952118072,1259.01283908,209701.0,55228.0,108.0,23759.0582369,,,,,,,,okey_complete2,,,,,0.844849423302,0.721265361994,0.809093495854,0.662803362105
29,2TRX,0.25,1.0,1000,0.677494093939,0.527793631695,33.7728891373,1781.0,985.0,108.0,23759.058237,,,,,,,,okey_complete2,,,,,0.481388839259,0.510195999423,0.490481011653,0.502969257426
30,2TRX,0.25,1.0,5000,0.711366185894,0.552143330981,71.6383640766,8541.0,4882.0,108.0,23759.0582371,,,,,,,,okey_complete2,,,,,0.515642639245,0.502581615551,0.532401617269,0.50778698563
31,2TRX,0.25,1.0,10000,0.713104923501,0.560628418823,145.10623908,16641.0,9765.0,108.0,23759.0582372,,,,,,,,okey_complete2,,,,,0.599921915841,0.533306032477,0.590334769288,0.531024325343
32,2TRX,0.25,1.0,20000,0.745726270614,0.573264871266,371.204250097,33131.0,19519.0,108.0,23759.0582373,,,,,,,,okey_complete2,,,,,0.585520020646,0.527434872306,0.585813828837,0.53540950522
33,2TRX,0.25,2.0,1000,0.690080767438,0.52751556367,40.906224966,7001.0,1988.0,108.0,23759.0582374,,,,,,,,okey_complete2,,,,,0.508415222441,0.498415106777,0.495925727407,0.505779621702
34,2TRX,0.25,2.0,5000,0.681682066392,0.534744742737,132.438293934,34371.0,9884.0,108.0,23759.0582375,,,,,,,,okey_complete2,,,,,0.581253184576,0.532503259041,0.589882145859,0.536974771119
35,2TRX,0.25,2.0,10000,0.691028939909,0.575204469121,309.026961803,68781.0,19762.0,108.0,23759.0582376,,,,,,,,okey_complete2,,,,,0.633105036428,0.561127039675,0.652157571186,0.562854275717
36,2TRX,0.25,2.0,20000,0.742269023079,0.593021376107,868.010947943,137701.0,39569.0,108.0,23759.0582377,,,,,,,,okey_complete2,,,,,0.650799700898,0.569844068121,0.684205162819,0.56538128466
37,2TRX,0.25,3.0,1000,0.650962963962,0.536737913484,47.4149479866,11071.0,2835.0,108.0,23759.0582378,,,,,,,,okey_complete2,,,,,0.572948471072,0.516485461892,0.578998008192,0.530556717373
38,2TRX,0.25,3.0,5000,0.689610473892,0.56318457063,178.24121809,54901.0,14162.0,108.0,23759.0582379,,,,,,,,okey_complete2,,,,,0.657330977574,0.56495798243,0.678580456461,0.559180302416
39,2TRX,0.25,3.0,10000,0.690945500732,0.558409326065,443.309709787,110241.0,28377.0,108.0,23759.058238,,,,,,,,okey_complete2,,,,,0.664629861235,0.577101715109,0.680013763987,0.567525319992
40,2TRX,0.25,3.0,20000,0.674433814612,0.577445702044,1327.46395707,220831.0,56787.0,108.0,23759.0582381,,,,,,,,okey_complete2,,,,,0.708480071996,0.589965668154,0.729234576724,0.57562483265
41,2TRX,0.25,5.0,1000,0.651793984457,0.545700752115,43.0394899845,12261.0,3142.0,108.0,23759.0582382,,,,,,,,okey_complete2,,,,,0.595089962215,0.544359530179,0.573837836407,0.545294925964
42,2TRX,0.25,5.0,5000,0.661995477428,0.561090927186,198.326369047,61441.0,15713.0,108.0,23759.0582383,,,,,,,,okey_complete2,,,,,0.742916509506,0.602227881504,0.710833184444,0.575379691258
43,2TRX,0.25,5.0,10000,0.674505454309,0.563874589639,494.818372011,123321.0,31508.0,108.0,23759.0582384,,,,,,,,okey_complete2,,,,,0.723162540779,0.595341513768,0.737561789054,0.587987207511
44,2TRX,0.25,5.0,20000,0.651141641796,0.555726183518,1477.95969892,245981.0,62954.0,108.0,23759.0582385,,,,,,,,okey_complete2,,,,,0.791110317035,0.64172472831,0.778246282731,0.604232981405
45,2TRX,0.25,7.0,1000,0.65664947033,0.530344499237,50.4640719891,12361.0,3172.0,108.0,23759.0582386,,,,,,,,okey_complete2,,,,,0.628750851978,0.550207905953,0.616864854849,0.559074180617
46,2TRX,0.25,7.0,5000,0.657759464236,0.555318727632,189.986603975,61851.0,15827.0,108.0,23759.0582387,,,,,,,,okey_complete2,,,,,0.733977858509,0.609741789691,0.734488714192,0.591828231344
47,2TRX,0.25,7.0,10000,0.668126149923,0.554668115314,453.998164892,123811.0,31645.0,108.0,23759.0582388,,,,,,,,okey_complete2,,,,,0.769660995639,0.619755511528,0.760063261403,0.591556422433
48,2TRX,0.25,7.0,20000,0.645224202756,0.55450991672,1492.14531898,247471.0,63363.0,108.0,23759.0582389,,,,,,,,okey_complete2,,,,,0.800536001429,0.65897879657,0.779074768891,0.601902142581
49,2TRX,0.25,10.0,1000,0.670829073581,0.543565262145,49.9399261475,12361.0,3145.0,108.0,23759.058239,,,,,,,,okey_complete2,,,,,0.639809686406,0.549868563576,0.621894004063,0.556947968796
50,2TRX,0.25,10.0,5000,0.667175448991,0.543558537489,196.499214888,61381.0,15723.0,108.0,23759.0582391,,,,,,,,okey_complete2,,,,,0.761276874516,0.617384603017,0.754728392856,0.581843269023
51,2TRX,0.25,10.0,10000,0.661740102976,0.539625730801,476.055325985,123421.0,31577.0,108.0,23759.0582392,,,,,,,,okey_complete2,,,,,0.799951031968,0.635795599557,0.789773622112,0.60462180523
52,2TRX,0.25,10.0,20000,0.66888384508,0.580701496984,1512.86825109,247111.0,63318.0,108.0,23759.0582393,,,,,,,,okey_complete2,,,,,0.816126363991,0.667994686683,0.800677611684,0.62227572889
53,2TRX,0.25,15.0,1000,0.637899254357,0.532740237807,51.2078690529,12311.0,3133.0,108.0,23759.0582394,,,,,,,,okey_complete2,,,,,0.666464177238,0.551834543861,0.649402126801,0.549157456342
54,2TRX,0.25,15.0,5000,0.674659690365,0.560051852867,201.073627949,61471.0,15729.0,108.0,23759.0582395,,,,,,,,okey_complete2,,,,,0.755834805683,0.61672631065,0.747960216783,0.583126536441
55,2TRX,0.25,15.0,10000,0.662759072325,0.555668115022,493.021199942,123241.0,31565.0,108.0,23759.0582396,,,,,,,,okey_complete2,,,,,0.78474976674,0.651793275382,0.776807681364,0.613962974182
56,2TRX,0.25,15.0,20000,0.640012204033,0.565924265303,1527.57100201,247321.0,63253.0,108.0,23759.0582397,,,,,,,,okey_complete2,,,,,0.839359709897,0.720133472477,0.812746246336,0.636190364974
1,2TRX,0.5,1.0,1000,0.671618795897,0.51213624786,28.4127569199,1051.0,826.0,108.0,155064.659118,,,,,,,,okey_complete2,0.530428619067,0.50097091663,0.515607966755,0.500824463765,0.517989134391,0.500478336708,0.507369688788,0.503102994586
2,2TRX,0.5,1.0,5000,0.714512432859,0.525647897448,52.3582539558,4621.0,3829.0,108.0,155064.659118,,,,,,,,okey_complete2,0.578252176891,0.508702108008,0.567093695652,0.512105337969,0.577101489555,0.510411798164,0.565836195316,0.510886678113
3,2TRX,0.5,1.0,10000,0.744418214014,0.553109538875,97.7108910084,8861.0,7468.0,108.0,155064.659118,,,,,,,,okey_complete2,0.667084872946,0.558467911464,0.625682451337,0.530569630005,0.665737597522,0.557022359823,0.626500969435,0.534320927986
4,2TRX,0.5,1.0,20000,0.77725700868,0.575900103374,251.136372089,17441.0,14801.0,108.0,155064.659118,,,,,,,,okey_complete2,0.691191798172,0.576030444761,0.649893305061,0.546846283351,0.694878870294,0.576847545124,0.660201563007,0.554445533045
5,2TRX,0.5,2.0,1000,0.711880306079,0.520393478082,37.2448189259,5571.0,1656.0,108.0,155064.659118,,,,,,,,okey_complete2,0.560947708264,0.51532472363,0.558229118223,0.511779741239,0.562470635724,0.517275895679,0.56145818858,0.515734177402
