,pdb,beta,nsus,run,auc,auc_01,execution_time,count_seq_scpe,count_seq_cluster,seq_lenght,execution_time_optimization_total
58,2TRX,2.0,1.0,5000,0.58910166347378368,0.4981916834729998,22.916884899139404,31.0,31.0,108.0,155064.659118
59,2TRX,2.0,1.0,10000,0.58640379673542098,0.49576365303448805,23.742369890213013,51.0,51.0,108.0,155064.659118
60,2TRX,2.0,1.0,20000,0.61480430141602183,0.48940493046315475,34.84706997871399,111.0,111.0,108.0,155064.659118
61,2TRX,2.0,2.0,1000,0.67782785064892925,0.49192704767230172,32.742719888687134,2221.0,970.0,108.0,155064.659118
62,2TRX,2.0,2.0,5000,0.74105873359556274,0.50793755393154583,89.5889139175415,10341.0,4820.0,108.0,155064.659118
63,2TRX,2.0,2.0,10000,0.76583932648570197,0.53106077032694554,223.92480206489563,20981.0,9644.0,108.0,155064.659118
64,2TRX,2.0,2.0,20000,0.79151583700873074,0.55368099592814468,678.7065999507904,41681.0,19213.0,108.0,155064.659118
65,2TRX,2.0,3.0,1000,0.68888480589434586,0.49344381268612686,36.32654094696045,5371.0,1357.0,108.0,155064.659118
66,2TRX,2.0,3.0,5000,0.75745579619938763,0.52325688491711042,117.2990870475769,26351.0,6524.0,108.0,155064.659118
67,2TRX,2.0,3.0,10000,0.79408812357089342,0.55177702661133454,307.20147800445557,52671.0,13094.0,108.0,155064.659118
68,2TRX,2.0,3.0,20000,0.82161715239786504,0.57996116633065886,966.4136028289795,104821.0,26078.0,108.0,155064.659118
69,2TRX,2.0,5.0,1000,0.71865826431340085,0.50597961062239738,46.10154700279236,11641.0,2598.0,108.0,155064.659118
70,2TRX,2.0,5.0,5000,0.78739276169349492,0.58264615650734064,200.29503297805786,58051.0,12967.0,108.0,155064.659118
71,2TRX,2.0,5.0,10000,0.81908194991458017,0.61212834332687138,545.3465051651001,116031.0,25916.0,108.0,155064.659118
72,2TRX,2.0,5.0,20000,0.84760803477138091,0.6799372722091388,1749.6138451099396,231491.0,51551.0,108.0,155064.659118
73,2TRX,2.0,7.0,1000,0.73031025046081177,0.52372287235179316,55.741361141204834,17951.0,3770.0,108.0,155064.659118
74,2TRX,2.0,7.0,5000,0.78522839999898864,0.60290854431525798,285.9426169395447,89371.0,18781.0,108.0,155064.659118
75,2TRX,2.0,7.0,10000,0.81758763009979829,0.6636248629768382,816.6148979663849,178531.0,37435.0,108.0,155064.659118
76,2TRX,2.0,7.0,20000,0.83513345632886149,0.69998913838939902,2688.8299119472504,357741.0,74982.0,108.0,155064.659118
77,2TRX,2.0,10.0,1000,0.75709844053020103,0.54052608744393493,70.27150416374207,26711.0,5386.0,108.0,155064.659118
78,2TRX,2.0,10.0,5000,0.79294104558560408,0.61113000563196351,434.591796875,133101.0,26887.0,108.0,155064.659118
79,2TRX,2.0,10.0,10000,0.8095294283236395,0.65279198025122542,1282.542121887207,266581.0,53727.0,108.0,155064.659118
80,2TRX,2.0,10.0,20000,0.81811607822380761,0.72193175850843827,4359.025537014008,532071.0,107088.0,108.0,155064.659118
81,2TRX,2.0,15.0,1000,0.74520709351003334,0.55679106786187105,93.24864196777344,37591.0,7640.0,108.0,155064.659118
82,2TRX,2.0,15.0,5000,0.78462662653719828,0.61145066559511962,675.1084339618683,187921.0,38146.0,108.0,155064.659118
83,2TRX,2.0,15.0,10000,0.78995240595604022,0.64301972572758048,2139.3390901088715,377591.0,76573.0,108.0,155064.659118
84,2TRX,2.0,15.0,20000,0.81382443891367251,0.67859701317344467,7391.799190044403,753151.0,152966.0,108.0,155064.659118
85,2TRX,3.0,1.0,1000,0.5,0.5,25.779587030410767,1.0,1.0,108.0,155064.659118
86,2TRX,3.0,1.0,5000,0.5,0.5,25.881773948669434,1.0,1.0,108.0,155064.659118
87,2TRX,3.0,1.0,10000,0.5,0.5,26.416050910949707,1.0,1.0,108.0,155064.659118
88,2TRX,3.0,1.0,20000,0.5,0.5,27.69375205039978,1.0,1.0,108.0,155064.659118
89,2TRX,3.0,2.0,1000,0.67143421832240058,0.48637337860459173,31.130383014678955,1051.0,711.0,108.0,155064.659118
90,2TRX,3.0,2.0,5000,0.73003380550917707,0.50128478241003371,73.33511519432068,5221.0,3539.0,108.0,155064.659118
91,2TRX,3.0,2.0,10000,0.76475461717852533,0.52358913946271857,164.5504379272461,10291.0,6916.0,108.0,155064.659118
92,2TRX,3.0,2.0,20000,0.79091153508701684,0.54835301937294312,478.731782913208,19711.0,13147.0,108.0,155064.659118
93,2TRX,3.0,3.0,1000,0.68643135694858715,0.48959316915290657,34.35059213638306,3781.0,1015.0,108.0,155064.659118
94,2TRX,3.0,3.0,5000,0.75615616779871431,0.51306828017517137,118.8839418888092,18811.0,5079.0,108.0,155064.659118
95,2TRX,3.0,3.0,10000,0.77658696680047845,0.5348094920890174,327.16060400009155,37151.0,10157.0,108.0,155064.659118
96,2TRX,3.0,3.0,20000,0.82087462800033373,0.56055997537250868,1072.3764951229095,74131.0,20184.0,108.0,155064.659118
97,2TRX,3.0,5.0,1000,0.71521787317750718,0.49611039720143046,43.55693006515503,9421.0,2029.0,108.0,155064.659118
98,2TRX,3.0,5.0,5000,0.78407795073380115,0.54939169571890956,193.66519784927368,46341.0,10052.0,108.0,155064.659118
99,2TRX,3.0,5.0,10000,0.82064790942719423,0.57320564333976132,560.2985880374908,92861.0,20101.0,108.0,155064.659118
100,2TRX,3.0,5.0,20000,0.86370589628425964,0.65236288268862497,1845.5752937793732,185781.0,40107.0,108.0,155064.659118
101,2TRX,3.0,7.0,1000,0.72407675392943738,0.51525008819693674,51.30026984214783,14891.0,2987.0,108.0,155064.659118
102,2TRX,3.0,7.0,5000,0.80308775525856446,0.57255884862278561,264.79411482810974,74571.0,14989.0,108.0,155064.659118
103,2TRX,3.0,7.0,10000,0.83648618238792816,0.63089401446252769,812.7864789962769,149371.0,29895.0,108.0,155064.659118
104,2TRX,3.0,7.0,20000,0.86784498517901076,0.72053152674062937,2563.69135594368,297711.0,59439.0,108.0,155064.659118
105,2TRX,3.0,10.0,1000,0.75166983707447066,0.52277659009384048,62.19541883468628,23351.0,4440.0,108.0,155064.659118
106,2TRX,3.0,10.0,5000,0.81290492232149714,0.60939353735679913,375.79329800605774,116211.0,22044.0,108.0,155064.659118
107,2TRX,3.0,10.0,10000,0.83762314653352354,0.6586822047988482,1129.7373399734497,232121.0,43918.0,108.0,155064.659118
108,2TRX,3.0,10.0,20000,0.8622141049294012,0.72825247635577195,3859.2381830215454,463981.0,87419.0,108.0,155064.659118
109,2TRX,3.0,15.0,1000,0.74819826159952074,0.54421997755432727,84.834792137146,36591.0,6726.0,108.0,155064.659118
110,2TRX,3.0,15.0,5000,0.82044984673318766,0.66329282923211774,609.9557030200958,183171.0,33576.0,108.0,155064.659118
111,2TRX,3.0,15.0,10000,0.83199479474383753,0.6914865264069292,1944.7617189884186,366721.0,67291.0,108.0,155064.659118
112,2TRX,3.0,15.0,20000,0.83162563959500824,0.72110622202241137,6707.305112123489,733171.0,134082.0,108.0,155064.659118
113,2TRX,5.0,1.0,1000,0.5,0.5,24.41834783554077,1.0,1.0,108.0,155064.659118
114,2TRX,5.0,1.0,5000,0.5,0.5,24.93882393836975,1.0,1.0,108.0,155064.659118
115,2TRX,5.0,1.0,10000,0.5,0.5,24.97330594062805,1.0,1.0,108.0,155064.659118
116,2TRX,5.0,1.0,20000,0.5,0.5,27.355369806289673,1.0,1.0,108.0,155064.659118
117,2TRX,5.0,2.0,1000,0.65453820629367387,0.4903412894104282,25.610379934310913,151.0,138.0,108.0,155064.659118
